text,intent,language
शिपमेंट ट्रैक नहीं हो रहा,Delivery Inquiry,Hindi
चालान गलत है,Billing Dispute,Hindi
mera refund abhi tak nahi mila I need support today,Refund Request,Hindi
வலைதளத்தைத் திறக்க முடியவில்லை can you check this issue,Technical Support,Tamil
पैकेज अभी तक नहीं आया can you check this issue,Delivery Inquiry,Hindi
delivery late ayyindi I need support today,Delivery Inquiry,Telugu
server connect avvatledu I need support today,Technical Support,Telugu
app crash avutondi this is urgent,Technical Support,Telugu
bill amount tappagide can you check this issue,Billing Dispute,Kannada
software install nahi ho raha can you check this issue,Technical Support,Hindi
ಸಾಧನೆ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ please help me quickly,Product Defect,Kannada
ऑनलाइन पेमेंट काम नहीं कर रहा please help me quickly,Payment Failure,Hindi
My account is locked can you check this issue,Account Recovery,English
பரிவர்த்தனை முடிந்துவிடவில்லை this is urgent,Payment Failure,Tamil
முழுத் தொகையும் திரும்பக் கொடுக்க வேண்டும் can you check this issue,Refund Request,Tamil
I keep seeing an error message this is urgent,Technical Support,English
software install nahi ho raha,Technical Support,Hindi
parcel eppodhu deliver aagum I need support today,Delivery Inquiry,Tamil
product toota hua hai this is urgent,Product Defect,Hindi
upi payment fail aanathu please help me quickly,Payment Failure,Tamil
The transaction failed after I paid can you check this issue,Payment Failure,English
ప్యాకేజ్ ఇంకా రాలేదు,Delivery Inquiry,Telugu
mera refund abhi tak nahi mila,Refund Request,Hindi
ఇన్‌వాయిస్ తప్పుగా ఉంది please help me quickly,Billing Dispute,Telugu
software install aagavillai please help me quickly,Technical Support,Tamil
delivery late aaguthu I need support today,Delivery Inquiry,Tamil
There is an incorrect amount on my bill please help me quickly,Billing Dispute,English
எனக்கு பணத்தைத் திரும்பக் கொடுக்க வேண்டும் please help me quickly,Refund Request,Tamil
यूपीआई पेमेंट फेल हो गया,Payment Failure,Hindi
unauthorized charge madalagide this is urgent,Billing Dispute,Kannada
यूपीआई पेमेंट फेल हो गया this is urgent,Payment Failure,Hindi
online payment kelasa maduttilla can you check this issue,Payment Failure,Kannada
నా పేమెంట్ విఫలమయ్యింది,Payment Failure,Telugu
full amount refund kavali can you check this issue,Refund Request,Telugu
mera order kahan hai please help me quickly,Delivery Inquiry,Hindi
delivery late aaguthu please help me quickly,Delivery Inquiry,Tamil
சாதனம் வேலை செய்யவில்லை I need support today,Product Defect,Tamil
upi payment fail ho gaya can you check this issue,Payment Failure,Hindi
package innum varavillai please help me quickly,Delivery Inquiry,Tamil
shipment track nahi ho raha please help me quickly,Delivery Inquiry,Hindi
unauthorized charge madalagide can you check this issue,Billing Dispute,Kannada
The product quality is poor I need support today,Product Defect,English
పాస్‌వర్డ్ రీసెట్ చేయటం లేదు I need support today,Account Recovery,Telugu
డబ్బు తిరిగి ఇవ్వండి,Refund Request,Telugu
My package has not arrived can you check this issue,Delivery Inquiry,English
వ్యతिcrമైన ఉత్పత్తి వచ్చింది,Product Defect,Telugu
Extra fees were added to my bill can you check this issue,Billing Dispute,English
ఉత్పత్తి నాణ్యత తక్కువగా ఉంది I need support today,Product Defect,Telugu
The website is not opening,Technical Support,English
app crash ho raha hai can you check this issue,Technical Support,Hindi
error message vastondi can you check this issue,Technical Support,Telugu
naa payment fail ayyindi this is urgent,Payment Failure,Telugu
ఖాతాలో లాగిన్ చేయటం లేదు,Account Recovery,Telugu
online payment pani cheyatledu can you check this issue,Payment Failure,Telugu
invoice thavaraaga ullathu I need support today,Billing Dispute,Tamil
வலைதளத்தைத் திறக்க முடியவில்லை,Technical Support,Tamil
ವಿನಿಮಯ ಪೂರ್ಣ ಆಗಿಲ್ಲ I need support today,Payment Failure,Kannada
mera payment fail ho gaya this is urgent,Payment Failure,Hindi
கப்பல் கண்காணித்தல் சாத்தியமில்லை,Delivery Inquiry,Tamil
ನನ್ನ ಆರ್ಡರ್ ಎಲ್ಲಿದೆ please help me quickly,Delivery Inquiry,Kannada
கணக்கிலிருந்து அதிக பணம் வெட்டப்பட்டுள்ளது,Billing Dispute,Tamil
error message aa raha hai I need support today,Technical Support,Hindi
password reset aagavillai,Account Recovery,Tamil
ఆన్‌లైన్ పేమెంట్ పని చేయటం లేదు can you check this issue,Payment Failure,Telugu
डिलीवरी लेट हो रही है can you check this issue,Delivery Inquiry,Hindi
ಸಂಪೂರ್ಣ ಹಣ ಹಿಂದಿರುಗಿಸಿ this is urgent,Refund Request,Kannada
product toota hua hai please help me quickly,Product Defect,Hindi
upi payment fail aanathu I need support today,Payment Failure,Tamil
யூபிআই பணம் தோல்வியடைந்தது,Payment Failure,Tamil
parcel kab deliver hoga please help me quickly,Delivery Inquiry,Hindi
వస్తువు లోపభరితంగా ఉంది,Product Defect,Telugu
கடவுச்சொல் மறுநிர்ணயம் சாத்தியமில்லை I need support today,Account Recovery,Tamil
ವಿನಿಮಯ ಪೂರ್ಣ ಆಗಿಲ್ಲ please help me quickly,Payment Failure,Kannada
upi payment fail aanathu this is urgent,Payment Failure,Tamil
பணம் திரும்பக் கொடுங்கள் can you check this issue,Refund Request,Tamil
poorna hana vapas beku this is urgent,Refund Request,Kannada
nanage refund beku please help me quickly,Refund Request,Kannada
product broken agide I need support today,Product Defect,Kannada
invoice galat hai can you check this issue,Billing Dispute,Hindi
డబ్బు తిరిగి ఇవ్వండి please help me quickly,Refund Request,Telugu
invoice tappagide,Billing Dispute,Kannada
nanna order ellide this is urgent,Delivery Inquiry,Kannada
account recover cheyali can you check this issue,Account Recovery,Telugu
refund eppudu vastundi,Refund Request,Telugu
error message aa raha hai,Technical Support,Hindi
device kaam nahi kar raha,Product Defect,Hindi
damaged product vandhathu,Product Defect,Tamil
சேதமடைந்த பொருள் வந்துவிட்டது this is urgent,Product Defect,Tamil
पैसे वापस कीजिए can you check this issue,Refund Request,Hindi
refund eppodhu varum,Refund Request,Tamil
saman kharab nikla,Product Defect,Hindi
என் ஆர்டர் எங்கே உள்ளது I need support today,Delivery Inquiry,Tamil
account recover karna hai can you check this issue,Account Recovery,Hindi
खाता वापस लेना है can you check this issue,Account Recovery,Hindi
पार्सल कब डिलीवर होगा,Delivery Inquiry,Hindi
I want a refund for my order this is urgent,Refund Request,English
error message baruttide,Technical Support,Kannada
ಖಾತೆಯಿಂದ ಹೆಚ್ಚು ಹಣ ಕಿತ್ತಿದೆ can you check this issue,Billing Dispute,Kannada
பில் தொகை தவறாக உள்ளது I need support today,Billing Dispute,Tamil
मेरा रिफंड अभी तक नहीं मिला I need support today,Refund Request,Hindi
ఖాతాలో లాగిన్ చేయటం లేదు can you check this issue,Account Recovery,Telugu
card se bhugtan nahi hua please help me quickly,Payment Failure,Hindi
bill amount tappuga undi please help me quickly,Billing Dispute,Telugu
I cannot log in to my account this is urgent,Account Recovery,English
nanna payment fail agide please help me quickly,Payment Failure,Kannada
product broken ga vachindi,Product Defect,Telugu
I forgot my password,Account Recovery,English
dabbu tirigi ivvandi can you check this issue,Refund Request,Telugu
account login avvatledu,Account Recovery,Telugu
account recover panna help venum,Account Recovery,Tamil
चालान गलत है please help me quickly,Billing Dispute,Hindi
software install aagavillai I need support today,Technical Support,Tamil
poora paisa wapas chahiye please help me quickly,Refund Request,Hindi
shipment track aguttilla this is urgent,Delivery Inquiry,Kannada
डिवाइस काम नहीं कर रहा please help me quickly,Product Defect,Hindi
package inka raledu please help me quickly,Delivery Inquiry,Telugu
ఖాతా పునరుద్ధరణ చేయాలి please help me quickly,Account Recovery,Telugu
main password bhool gaya I need support today,Account Recovery,Hindi
ವಸ್ತು ದಾಷ್ಟ್ರಾಹಿತವಾಗಿದೆ please help me quickly,Product Defect,Kannada
The product arrived broken please help me quickly,Product Defect,English
ಪ್ರೋಡಕ್ಟ್ ಒಡೆದಿದೆ can you check this issue,Product Defect,Kannada
ఎర్రర్ సందేశ వస్తుంది please help me quickly,Technical Support,Telugu
पैकेज अभी तक नहीं आया,Delivery Inquiry,Hindi
shipment track aagavillai can you check this issue,Delivery Inquiry,Tamil
कार्ड से भुगतान नहीं हुआ this is urgent,Payment Failure,Hindi
I received a damaged product,Product Defect,English
item defective undi can you check this issue,Product Defect,Telugu
నా ఆర్డర్ ఎక్కడ ఉంది can you check this issue,Delivery Inquiry,Telugu
ಡೆಲಿವರಿ ತಡವಾಗಿದೆ this is urgent,Delivery Inquiry,Kannada
online payment velai seyyavillai this is urgent,Payment Failure,Tamil
ಖಾತೆಯಲ್ಲಿ ಲಾಗಿನ್ ಆಗುತ್ತಿಲ್ಲ please help me quickly,Account Recovery,Kannada
nanage eradu bari charge madalagide,Billing Dispute,Kannada
refund inka raledu this is urgent,Refund Request,Telugu
error message baruttide this is urgent,Technical Support,Kannada
UPI payment is not going through,Payment Failure,English
பொதி இன்னும் வரவில்லை,Delivery Inquiry,Tamil
paise wapas kijiye I need support today,Refund Request,Hindi
refund kab milega please help me quickly,Refund Request,Hindi
ಬಿಲ್ ರೀತಿ ತಪ್ಪಾಗಿದೆ I need support today,Billing Dispute,Kannada
ನನ್ನ ಪೇಮೆಂಟ್ ವಿಫಲವಾಗಿದೆ I need support today,Payment Failure,Kannada
The product arrived broken this is urgent,Product Defect,English
पूरा पैसा वापस चाहिए can you check this issue,Refund Request,Hindi
enakku rendu murai charge pannirukanga can you check this issue,Billing Dispute,Tamil
ವಸ್ತು ದಾಷ್ಟ್ರಾಹಿತವಾಗಿದೆ can you check this issue,Product Defect,Kannada
ಇನ್‌ವಾಯ್ಸ್ ತಪ್ಪಾಗಿದೆ this is urgent,Billing Dispute,Kannada
பொதி இன்னும் வரவில்லை can you check this issue,Delivery Inquiry,Tamil
ಯುಪಿಐ ಪೇಮೆಂಟ್ ವಿಫಲವಾಗಿದೆ please help me quickly,Payment Failure,Kannada
ಪಾರ್ಸೆಲ್ ಯಾವಾಗ ಡೆಲಿವರ್ ಆಗುತ್ತೆ this is urgent,Delivery Inquiry,Kannada
bill amount thavaraaga ullathu can you check this issue,Billing Dispute,Tamil
The website is not opening can you check this issue,Technical Support,English
வலைதளத்தைத் திறக்க முடியவில்லை please help me quickly,Technical Support,Tamil
सॉफ़्टवेयर इंस्टॉल नहीं हो रहा please help me quickly,Technical Support,Hindi
ஆவணம் தவறாக உள்ளது this is urgent,Billing Dispute,Tamil
online payment kaam nahi kar raha,Payment Failure,Hindi
எனக்கு இரண்டு முறை கட்டணம் விதிக்கப்பட்டுள்ளது this is urgent,Billing Dispute,Tamil
ಯುಪಿಐ ಪೇಮೆಂಟ್ ವಿಫಲವಾಗಿದೆ,Payment Failure,Kannada
मेरा खाता लॉक हो गया,Account Recovery,Hindi
When will my parcel be delivered please help me quickly,Delivery Inquiry,English
account lock aagivittathu can you check this issue,Account Recovery,Tamil
ಖಾತೆಯಿಂದ ಹೆಚ್ಚು ಹಣ ಕಿತ್ತಿದೆ,Billing Dispute,Kannada
The website is not opening please help me quickly,Technical Support,English
पासवर्ड रीसेट नहीं हो रहा this is urgent,Account Recovery,Hindi
item defective undi this is urgent,Product Defect,Telugu
app crash ho raha hai I need support today,Technical Support,Hindi
ವೆಬ್‌ಸೈಟ್ ತೆರೆಯುತ್ತಿಲ್ಲ can you check this issue,Technical Support,Kannada
ಡೆಲಿವರಿ ತಡವಾಗಿದೆ,Delivery Inquiry,Kannada
naa order ekkada undi this is urgent,Delivery Inquiry,Telugu
product quality kharab hai I need support today,Product Defect,Hindi
package innu bandilla,Delivery Inquiry,Kannada
mera payment fail ho gaya can you check this issue,Payment Failure,Hindi
password reset nahi ho raha,Account Recovery,Hindi
பணம் திரும்பக் கொடுங்கள்,Refund Request,Tamil
ಪ್ಯಾಕೇಜ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ,Delivery Inquiry,Kannada
பில் தொகை தவறாக உள்ளது,Billing Dispute,Tamil
damaged product bandide can you check this issue,Product Defect,Kannada
சேவையகத்துடன் இணைய முடியவில்லை please help me quickly,Technical Support,Tamil
item defective ah irukku please help me quickly,Product Defect,Tamil
ఖాతా నుండి అధిక డబ్బు కత్తిరించారు this is urgent,Billing Dispute,Telugu
ఆ్యాప్ క్రాష్ అవుతుంది,Technical Support,Telugu
account recover panna help venum I need support today,Account Recovery,Tamil
பணத்திரும்பு இன்னும் வரவில்லை this is urgent,Refund Request,Tamil
ಪಾರ್ಸೆಲ್ ಯಾವಾಗ ಡೆಲಿವರ್ ಆಗುತ್ತೆ,Delivery Inquiry,Kannada
refund kab milega this is urgent,Refund Request,Hindi
unauthorized charge madalagide please help me quickly,Billing Dispute,Kannada
password reset avvatledu this is urgent,Account Recovery,Telugu
The delivery is delayed can you check this issue,Delivery Inquiry,English
The invoice amount is wrong please help me quickly,Billing Dispute,English
The item is defective please help me quickly,Product Defect,English
refund yavaga barutte can you check this issue,Refund Request,Kannada
hana vapas madi this is urgent,Refund Request,Kannada
ಪಾಸ್‌ವರ್ಡ್ ಮರೆತಿದ್ದೇನೆ I need support today,Account Recovery,Kannada
கணக்கில் உள்நுழைய முடியவில்லை I need support today,Account Recovery,Tamil
website open aguttilla I need support today,Technical Support,Kannada
I cannot connect to the server this is urgent,Technical Support,English
refund kab milega,Refund Request,Hindi
device velai seyyavillai can you check this issue,Product Defect,Tamil
device pani cheyatledu I need support today,Product Defect,Telugu
parcel kab deliver hoga can you check this issue,Delivery Inquiry,Hindi
ಆನ್‌ಲೈನ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ please help me quickly,Payment Failure,Kannada
card payment nadakkavillai I need support today,Payment Failure,Tamil
சேவையகத்துடன் இணைய முடியவில்லை can you check this issue,Technical Support,Tamil
ಹಾನಿಗ್ರಸ್ತ ಪ್ರೋಡಕ್ಟ್ ಬಂದಿದೆ I need support today,Product Defect,Kannada
ఆన్‌లైన్ పేమెంట్ పని చేయటం లేదు please help me quickly,Payment Failure,Telugu
shipment track avvatledu,Delivery Inquiry,Telugu
రిఫండ్ ఇంకా రాలేదు,Refund Request,Telugu
सामान खराब निकला can you check this issue,Product Defect,Hindi
main password bhool gaya,Account Recovery,Hindi
package abhi tak nahi aaya can you check this issue,Delivery Inquiry,Hindi
server connect aguttilla this is urgent,Technical Support,Kannada
delivery late aaguthu this is urgent,Delivery Inquiry,Tamil
கணக்கு பூட்டப்பட்டுவிட்டது I need support today,Account Recovery,Tamil
item defective agide please help me quickly,Product Defect,Kannada
invoice tappuga undi please help me quickly,Billing Dispute,Telugu
பிழை செய்தி வருகிறது can you check this issue,Technical Support,Tamil
account lock agide please help me quickly,Account Recovery,Kannada
mera order kahan hai can you check this issue,Delivery Inquiry,Hindi
nanna order ellide can you check this issue,Delivery Inquiry,Kannada
रिफंड कब मिलेगा can you check this issue,Refund Request,Hindi
సర్వర్‌కు కనెక్ట్ చేయటం లేదు I need support today,Technical Support,Telugu
கார்டு பணம் வேலை செய்யவில்லை,Payment Failure,Tamil
The software will not install I need support today,Technical Support,English
UPI payment is not going through I need support today,Payment Failure,English
I keep seeing an error message please help me quickly,Technical Support,English
मेरे खाते से ज्यादा पैसे काटे,Billing Dispute,Hindi
delivery late ayyindi please help me quickly,Delivery Inquiry,Telugu
బిల్ విధానం తప్పుగా ఉంది can you check this issue,Billing Dispute,Telugu
నా ఆర్డర్ ఎక్కడ ఉంది this is urgent,Delivery Inquiry,Telugu
The device is not working can you check this issue,Product Defect,English
online payment kelasa maduttilla this is urgent,Payment Failure,Kannada
invoice tappuga undi can you check this issue,Billing Dispute,Telugu
invoice tappuga undi I need support today,Billing Dispute,Telugu
பொருளின் தரம் மோசமாக உள்ளது please help me quickly,Product Defect,Tamil
ಕಾರ್ಡ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ can you check this issue,Payment Failure,Kannada
The device is not working this is urgent,Product Defect,English
en order enga irukku,Delivery Inquiry,Tamil
వెబ్‌సైట్ తెరవటం లేదు can you check this issue,Technical Support,Telugu
ऑनलाइन पेमेंट काम नहीं कर रहा this is urgent,Payment Failure,Hindi
app crash aaguthu,Technical Support,Tamil
खाते में लॉगिन नहीं हो रहा this is urgent,Account Recovery,Hindi
mera order kahan hai,Delivery Inquiry,Hindi
poora paisa wapas chahiye this is urgent,Refund Request,Hindi
dabbu tirigi ivvandi this is urgent,Refund Request,Telugu
பரிவர்த்தனை முடிந்துவிடவில்லை,Payment Failure,Tamil
கணக்கு மீட்டெடுக்க உதவி தேவை,Account Recovery,Tamil
கணக்கு பூட்டப்பட்டுவிட்டது,Account Recovery,Tamil
transaction complete nahi hua can you check this issue,Payment Failure,Hindi
అనుమతి లేని ఛార్జ్ చేసారు,Billing Dispute,Telugu
ಆನ್‌ಲೈನ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ can you check this issue,Payment Failure,Kannada
ऐप क्रैश हो रहा है can you check this issue,Technical Support,Hindi
ಬಿಲ್ ರೀತಿ ತಪ್ಪಾಗಿದೆ,Billing Dispute,Kannada
software install aguttilla this is urgent,Technical Support,Kannada
பொதி இன்னும் வரவில்லை please help me quickly,Delivery Inquiry,Tamil
My payment failed during checkout can you check this issue,Payment Failure,English
సాఫ్టवేర్ ఇన్‌స్టాల్ చేయటం లేదు I need support today,Technical Support,Telugu
क्षतिग्रस्त पणय मिला I need support today,Product Defect,Hindi
पूरा पैसा वापस चाहिए please help me quickly,Refund Request,Hindi
The card payment was declined,Payment Failure,English
ऑनलाइन पेमेंट काम नहीं कर रहा I need support today,Payment Failure,Hindi
online payment kelasa maduttilla I need support today,Payment Failure,Kannada
app crash aguttide this is urgent,Technical Support,Kannada
I see an unauthorized charge on my account this is urgent,Billing Dispute,English
transaction complete agalilla I need support today,Payment Failure,Kannada
invoice galat hai I need support today,Billing Dispute,Hindi
The device is not working please help me quickly,Product Defect,English
online payment velai seyyavillai I need support today,Payment Failure,Tamil
delivery late aaguthu,Delivery Inquiry,Tamil
password reset avvatledu can you check this issue,Account Recovery,Telugu
password reset aguttilla this is urgent,Account Recovery,Kannada
వస్తువు లోపభరితంగా ఉంది please help me quickly,Product Defect,Telugu
ఆ్యాప్ క్రాష్ అవుతుంది this is urgent,Technical Support,Telugu
account lock aagivittathu,Account Recovery,Tamil
bill amount tappagide please help me quickly,Billing Dispute,Kannada
error message varudhu can you check this issue,Technical Support,Tamil
ರಿಫಂಡ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ please help me quickly,Refund Request,Kannada
ದೋಷ ಸಂದೇಶ ಬರುತ್ತಿದೆ can you check this issue,Technical Support,Kannada
கணக்கில் உள்நுழைய முடியவில்லை can you check this issue,Account Recovery,Tamil
main password bhool gaya please help me quickly,Account Recovery,Hindi
मेरा रिफंड अभी तक नहीं मिला this is urgent,Refund Request,Hindi
damaged product mila I need support today,Product Defect,Hindi
रिफंड कब मिलेगा this is urgent,Refund Request,Hindi
ఖాతా లాక్ అయ్యిపోయింది can you check this issue,Account Recovery,Telugu
enakku refund venum,Refund Request,Tamil
server connect avvatledu this is urgent,Technical Support,Telugu
खाता वापस लेना है this is urgent,Account Recovery,Hindi
ನನ್ನ ಪೇಮೆಂಟ್ ವಿಫಲವಾಗಿದೆ can you check this issue,Payment Failure,Kannada
invoice tappagide this is urgent,Billing Dispute,Kannada
device velai seyyavillai this is urgent,Product Defect,Tamil
ಶಿಪ್ಮೆಂಟ್ ಟ್ರ್যಾಕ್ ಆಗುತ್ತಿಲ್ಲ,Delivery Inquiry,Kannada
transaction complete kaledu I need support today,Payment Failure,Telugu
bill amount thavaraaga ullathu,Billing Dispute,Tamil
upi payment fail ayyindi this is urgent,Payment Failure,Telugu
mujhe do baar charge kiya gaya I need support today,Billing Dispute,Hindi
device kelasa maduttilla,Product Defect,Kannada
నా పేమెంట్ విఫలమయ్యింది please help me quickly,Payment Failure,Telugu
నా ఆర్డర్ ఎక్కడ ఉంది I need support today,Delivery Inquiry,Telugu
ವಸ್ತು ದಾಷ್ಟ್ರಾಹಿತವಾಗಿದೆ I need support today,Product Defect,Kannada
When will I get my refund please help me quickly,Refund Request,English
password reset nahi ho raha can you check this issue,Account Recovery,Hindi
nanage eradu bari charge madalagide this is urgent,Billing Dispute,Kannada
Net banking payment did not complete this is urgent,Payment Failure,English
यूपीआई पेमेंट फेल हो गया please help me quickly,Payment Failure,Hindi
account la irunthu adhiga panam cut aanathu I need support today,Billing Dispute,Tamil
யூபிআই பணம் தோல்வியடைந்தது please help me quickly,Payment Failure,Tamil
upi payment fail agide please help me quickly,Payment Failure,Kannada
product quality bagaledu this is urgent,Product Defect,Telugu
password marethiddene I need support today,Account Recovery,Kannada
The delivery is delayed,Delivery Inquiry,English
கப்பல் கண்காணித்தல் சாத்தியமில்லை this is urgent,Delivery Inquiry,Tamil
अनधिकृत शुल्क लगाया गया I need support today,Billing Dispute,Hindi
விநியோகம் தாமதமாகிவிட்டது I need support today,Delivery Inquiry,Tamil
product quality bagaledu please help me quickly,Product Defect,Telugu
பரல் எப்போது விநியோகிக்கப்படும்,Delivery Inquiry,Tamil
hana vapas madi,Refund Request,Kannada
పరికరం పని చేయటం లేదు,Product Defect,Telugu
கடவுச்சொல் மறுநிர்ணயம் சாத்தியமில்லை this is urgent,Account Recovery,Tamil
वेबसाइट नहीं खुल रही,Technical Support,Hindi
अनधिकृत शुल्क लगाया गया can you check this issue,Billing Dispute,Hindi
ಪ್ರೋಡಕ್ಟ್ ಒಡೆದಿದೆ I need support today,Product Defect,Kannada
डिलीवरी लेट हो रही है I need support today,Delivery Inquiry,Hindi
ಅನುಮತಿರಹಿತ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ I need support today,Billing Dispute,Kannada
My payment failed during checkout I need support today,Payment Failure,English
The card payment was declined please help me quickly,Payment Failure,English
मेरा रिफंड अभी तक नहीं मिला please help me quickly,Refund Request,Hindi
ఖాతాలో లాగిన్ చేయటం లేదు please help me quickly,Account Recovery,Telugu
షిప్‌మెంట్ ట్రాక్ చేయటం లేదు can you check this issue,Delivery Inquiry,Telugu
ರಿಫಂಡ್ ಯಾವಾಗ ಬರುತ್ತೆ,Refund Request,Kannada
डिलीवरी लेट हो रही है this is urgent,Delivery Inquiry,Hindi
பயன்பாடு செயலிழந்துவிடும் please help me quickly,Technical Support,Tamil
लेनदेन पूरा नहीं हुआ,Payment Failure,Hindi
ஆவணம் தவறாக உள்ளது can you check this issue,Billing Dispute,Tamil
I was charged twice for the same order I need support today,Billing Dispute,English
item defective undi I need support today,Product Defect,Telugu
ఇన్‌వాయిస్ తప్పుగా ఉంది,Billing Dispute,Telugu
password reset aagavillai please help me quickly,Account Recovery,Tamil
account recover madalu sahaya beku,Account Recovery,Kannada
refund innu bandilla can you check this issue,Refund Request,Kannada
app crash aaguthu can you check this issue,Technical Support,Tamil
ಶಿಪ್ಮೆಂಟ್ ಟ್ರ್যಾಕ್ ಆಗುತ್ತಿಲ್ಲ can you check this issue,Delivery Inquiry,Kannada
shipment track aguttilla please help me quickly,Delivery Inquiry,Kannada
ఎర్రర్ సందేశ వస్తుంది,Technical Support,Telugu
ಅನುಮತಿರಹಿತ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ this is urgent,Billing Dispute,Kannada
unauthorized charge vesaru please help me quickly,Billing Dispute,Telugu
बिल में गलत राशि है please help me quickly,Billing Dispute,Hindi
I was charged twice for the same order,Billing Dispute,English
delivery late ho rahi hai please help me quickly,Delivery Inquiry,Hindi
ಆನ್‌ಲೈನ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ I need support today,Payment Failure,Kannada
Extra fees were added to my bill I need support today,Billing Dispute,English
I cannot log in to my account please help me quickly,Account Recovery,English
parcel kab deliver hoga this is urgent,Delivery Inquiry,Hindi
Please return my money,Refund Request,English
online payment pani cheyatledu this is urgent,Payment Failure,Telugu
यूपीआई पेमेंट फेल हो गया can you check this issue,Payment Failure,Hindi
I need help recovering my account,Account Recovery,English
ఇన్‌వాయిస్ తప్పుగా ఉంది can you check this issue,Billing Dispute,Telugu
ಸಾಧನೆ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ I need support today,Product Defect,Kannada
Please process a full refund I need support today,Refund Request,English
பணத்திரும்பு எப்போது வரும் please help me quickly,Refund Request,Tamil
ಸರ್ವರ್ ಸಂಪರ್ಕ ಆಗುತ್ತಿಲ್ಲ this is urgent,Technical Support,Kannada
నా ఆర్డర్ ఎక్కడ ఉంది,Delivery Inquiry,Telugu
Extra fees were added to my bill,Billing Dispute,English
enakku refund venum can you check this issue,Refund Request,Tamil
त्रुटि संदेश आ रहा है can you check this issue,Technical Support,Hindi
ఇన్‌వాయిస్ తప్పుగా ఉంది I need support today,Billing Dispute,Telugu
కార్డ్ పేమెంట్ పని చేయటం లేదు I need support today,Payment Failure,Telugu
ఖాతా నుండి అధిక డబ్బు కత్తిరించారు I need support today,Billing Dispute,Telugu
లావాదేవీ పూర్తి కాలేదు I need support today,Payment Failure,Telugu
card payment agalilla can you check this issue,Payment Failure,Kannada
கப்பல் கண்காணித்தல் சாத்தியமில்லை I need support today,Delivery Inquiry,Tamil
ನನಗೆ ಎರಡು ಬಾರಿ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ can you check this issue,Billing Dispute,Kannada
क्षतिग्रस्त पणय मिला,Product Defect,Hindi
కార్డ్ పేమెంట్ పని చేయటం లేదు please help me quickly,Payment Failure,Telugu
refund eppodhu varum can you check this issue,Refund Request,Tamil
ಸರ್ವರ್ ಸಂಪರ್ಕ ಆಗುತ್ತಿಲ್ಲ please help me quickly,Technical Support,Kannada
పాస్‌వర్డ్ రీసెట్ చేయటం లేదు can you check this issue,Account Recovery,Telugu
My refund has not arrived,Refund Request,English
refund inka raledu,Refund Request,Telugu
I cannot track my shipment I need support today,Delivery Inquiry,English
ರಿಫಂಡ್ ಯಾವಾಗ ಬರುತ್ತೆ please help me quickly,Refund Request,Kannada
account recover cheyali please help me quickly,Account Recovery,Telugu
transaction complete nahi hua this is urgent,Payment Failure,Hindi
paise wapas kijiye,Refund Request,Hindi
parcel yavaga deliver agutte,Delivery Inquiry,Kannada
पैकेज अभी तक नहीं आया this is urgent,Delivery Inquiry,Hindi
सॉफ़्टवेयर इंस्टॉल नहीं हो रहा this is urgent,Technical Support,Hindi
నా పేమెంట్ విఫలమయ్యింది can you check this issue,Payment Failure,Telugu
ఖాతా లాక్ అయ్యిపోయింది please help me quickly,Account Recovery,Telugu
card se bhugtan nahi hua I need support today,Payment Failure,Hindi
device velai seyyavillai please help me quickly,Product Defect,Tamil
account lock ayyindi,Account Recovery,Telugu
My account is locked,Account Recovery,English
ఆన్‌లైన్ పేమెంట్ పని చేయటం లేదు this is urgent,Payment Failure,Telugu
The invoice amount is wrong I need support today,Billing Dispute,English
account recover madalu sahaya beku please help me quickly,Account Recovery,Kannada
రిఫండ్ ఎప్పుడు వస్తుంది can you check this issue,Refund Request,Telugu
मेरा पेमेंट फेल हो गया this is urgent,Payment Failure,Hindi
unauthorized charge potirukanga can you check this issue,Billing Dispute,Tamil
I want a refund for my order I need support today,Refund Request,English
website open avvatledu I need support today,Technical Support,Telugu
online payment kelasa maduttilla,Payment Failure,Kannada
When will I get my refund can you check this issue,Refund Request,English
damaged product vachindi this is urgent,Product Defect,Telugu
en payment fail aanathu I need support today,Payment Failure,Tamil
password marandhu vitten can you check this issue,Account Recovery,Tamil
website open aguttilla this is urgent,Technical Support,Kannada
card se bhugtan nahi hua can you check this issue,Payment Failure,Hindi
The device is not working I need support today,Product Defect,English
product quality chennagilla please help me quickly,Product Defect,Kannada
The item is defective I need support today,Product Defect,English
My package has not arrived,Delivery Inquiry,English
item defective ah irukku this is urgent,Product Defect,Tamil
I cannot log in to my account,Account Recovery,English
